Date/Time,Load,Wind,Hydro,Fossil,Biomass
8/29/2021 0:00,5125,31,5253,1130,1145
8/29/2021 0:05,5108,32,5011,1138,1149
8/29/2021 0:10,5076,31,4755,1154,1144
8/29/2021 0:15,5055,28,4725,1153,1152
8/29/2021 0:20,5021,27,4617,1148,1149
8/29/2021 0:25,4974,29,4646,1148,1150
8/29/2021 0:30,4987,31,4656,1148,1150
8/29/2021 0:35,4942,31,4619,1149,1146
8/29/2021 0:40,4956,29,4646,1160,1146
8/29/2021 0:45,4937,26,4647,1160,1145
8/29/2021 0:50,4948,26,4592,1154,1146
8/29/2021 0:55,4882,23,4604,1155,1152
8/29/2021 1:00,4882,21,4504,1158,1152
8/29/2021 1:05,4883,20,4504,1155,1152
8/29/2021 1:10,4868,18,4389,1157,1152
8/29/2021 1:15,4839,16,4417,1159,1152
8/29/2021 1:20,4839,15,4412,1161,1150
8/29/2021 1:25,4841,13,4430,1160,1150
8/29/2021 1:30,4807,13,4434,1156,1152
8/29/2021 1:35,4804,13,4419,1164,1152
8/29/2021 1:40,4776,12,4400,1161,1150
8/29/2021 1:45,4760,13,4420,1160,1152
8/29/2021 1:50,4756,15,4377,1159,1147
8/29/2021 1:55,4742,14,4316,1159,1147
8/29/2021 2:00,4753,14,4226,1158,1146
8/29/2021 2:05,4726,16,4255,1162,1148
8/29/2021 2:10,4708,17,4204,1165,1149
8/29/2021 2:15,4691,18,4206,1162,1149
8/29/2021 2:20,4727,20,4208,1163,1146
8/29/2021 2:25,4696,20,4247,1161,1152
8/29/2021 2:30,4700,22,4218,1160,1152
8/29/2021 2:35,4683,23,4214,1157,1152
8/29/2021 2:40,4666,25,4197,1158,1147
8/29/2021 2:45,4653,26,4156,1159,1152
8/29/2021 2:50,4685,26,4205,1158,1152
8/29/2021 2:55,4655,28,4183,1170,1152
8/29/2021 3:00,4658,28,4152,1184,1149
8/29/2021 3:05,4650,28,4141,1199,1154
8/29/2021 3:10,4648,27,4133,1207,1154
8/29/2021 3:15,4683,27,4098,1209,1148
8/29/2021 3:20,4655,25,4122,1207,1152
8/29/2021 3:25,4646,27,4114,1207,1149
8/29/2021 3:30,4646,28,4048,1211,1152
8/29/2021 3:35,4608,29,4084,1210,1149
8/29/2021 3:40,4652,30,4101,1209,1149
8/29/2021 3:45,4622,29,4073,1206,1151
8/29/2021 3:50,4625,31,4061,1211,1152
8/29/2021 3:55,4627,31,4079,1212,1153
8/29/2021 4:00,4646,30,4079,1218,1153
8/29/2021 4:05,4627,27,4107,1207,1153
8/29/2021 4:10,4646,26,4149,1206,1152
8/29/2021 4:15,4646,28,4175,1212,1149
8/29/2021 4:20,4643,27,4193,1211,1154
8/29/2021 4:25,4654,27,4189,1208,1146
8/29/2021 4:30,4650,27,4184,1208,1150
8/29/2021 4:35,4655,27,4168,1206,1155
8/29/2021 4:40,4646,25,4186,1208,1147
8/29/2021 4:45,4647,25,4209,1206,1153
8/29/2021 4:50,4676,26,4200,1211,1153
8/29/2021 4:55,4656,25,4207,1206,1154
8/29/2021 5:00,4654,25,4216,1212,1154
8/29/2021 5:05,4684,23,4264,1207,1149
8/29/2021 5:10,4707,24,4249,1208,1154
8/29/2021 5:15,4696,24,4235,1205,1154
8/29/2021 5:20,4706,23,4226,1209,1152
8/29/2021 5:25,4703,22,4235,1211,1154
8/29/2021 5:30,4718,24,4221,1206,1152
8/29/2021 5:35,4750,25,4244,1207,1152
8/29/2021 5:40,4750,23,4252,1210,1154
8/29/2021 5:45,4717,25,4259,1209,1155
8/29/2021 5:50,4745,27,4285,1210,1152
8/29/2021 5:55,4756,29,4402,1210,1154
8/29/2021 6:00,4757,29,4543,1207,1154
8/29/2021 6:05,4815,28,4799,1212,1152
8/29/2021 6:10,4823,27,4858,1211,1154
8/29/2021 6:15,4824,28,4909,1210,1149
8/29/2021 6:20,4833,26,4907,1210,1155
8/29/2021 6:25,4850,24,4933,1207,1150
8/29/2021 6:30,4841,22,4916,1211,1149
8/29/2021 6:35,4852,21,4903,1211,1155
8/29/2021 6:40,4857,18,4890,1211,1155
8/29/2021 6:45,4890,15,4898,1212,1155
8/29/2021 6:50,4867,12,4887,1214,1155
